(IF1),CONNECTOR_9,-,538-95540-2881,$1.75 MOUSER 538-95540-2881,1,$1.75,538-95540-2881,1
(R4),RESISTOR,100,1206,$0.10 MOUSER 71-CRCW1206-100-E3 ,1,$0.10,71-CRCW1206-100-E3 ,1
(R2),RESISTOR,1,JUMPER2,$1.15 MOUSER 71-RS0051R000FE12 ,1,$1.15,71-RS0051R000FE12 ,1
(SAFETY1),SPST,60A,XT60,$0.80 HobbyKing XT60,1,$0.80,,1
(D1),DIODE,-,DO214AB,$0.55 MOUSER 512-ES3J,1,$0.55,512-ES3J,1
(R1),RESISTOR,1k,1206,$0.10 MOUSER 71-CRCW1206-1.0K-E3,1,$0.10,71-CRCW1206-1.0K-E3,1
(R5|R6),VARIABLE_RESISTOR,1k,VISHAY_T18,$1.84 MOUSER 72-T18-1K,2,$1.84,72-T18-1K,2
(IF2),CONNECTOR_2,60A,XT60,$0.80 HobbyKing XT60,1,$0.80,,1
(M1|M2|M3),CONNECTOR_3,-,JUMPER3,-,3,-,,3
(BIN1|TYPE1),SPST,-,JUMPER2,-,2,-,,2
(C1|C2|C3),CAPACITOR,0.1u,0603,$0.10 MOUSER 80-C0603C104K3R,3,$0.10,80-C0603C104K3R,3
(L1),INDUCTOR,100uH,0805,$0.45 MOUSER 80-L0806C101KPWST,1,$0.45,80-L0806C101KPWST,1
